Designator,Val,Package,Mid X,Mid Y,Rotation,Layer
AE1,2450AT18A100E,ANTC3216X140N,181.0,-106.7,90.0,top
C1,12pF,C_0402,172.847,-114.952,180.0,top
C10,1uF,C_0603,172.2628,-119.9896,-90.0,top
C11,100nF,C_0402,177.165,-113.792,180.0,top
C12,100pF,C_0402,177.353,-111.754,90.0,top
C2,12pF,C_0402,176.153,-111.754,90.0,top
C3,1pF,C_0402,180.7464,-113.0808,90.0,top
C5,12pF,C_0402,176.1236,-123.444,0.0,top
C6,12pF,C_0402,176.0728,-124.5108,0.0,top
C7,100nF,C_0402,177.6476,-121.666,0.0,top
C8,4.7uF,C_0603,174.403,-122.354,180.0,top
C9,100nF,C_0402,184.404,-121.793,90.0,top
D1,White,D_0805,178.435,-128.016,-90.0,top
D2,Green,D_0805,180.467,-128.016,-90.0,top
D3,Red,D_0805,176.403,-128.016,-90.0,top
J4,Battery_CR2032,BatteryHolder_MYOUNG_BS-07-A1BJ001_CR2032,179.437,-121.793,0.0,bottom
L1,"15nH,300mA",L_0402,174.388,-119.191,180.0,top
L2,"10uH,3mA",L_0603,174.388,-120.715,0.0,top
L4,3.9uH,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,181.0004,-110.0465,90.0,top
L5,2.7uH,L_0402_1005Metric_Pad0.77x0.64mm_HandSolder,181.481,-111.633,180.0,top
R1,10k立,R_0603,171.196,-115.57,90.0,top
R2,10立,R_0603,180.086,-125.6284,0.0,top
R3,10立,R_0603,182.1688,-126.5428,90.0,top
R4,33立,R_0603,177.292,-125.6284,0.0,top
SW1,SW_Push,SW_SPST_PTS810,168.656,-112.649,-90.0,top
SW2,SW_Push,SW_SPST_PTS810,168.656,-128.016,-90.0,top
SW3,SW_Push,SW_SPST_PTS810,188.341,-128.016,90.0,top
U1,nrf52832,QFN-48-1EP_6x6mm_P0.4mm_EP4.4x4.4mm_ThermalVias,180.736,-117.602,0.0,top
Y1,Q13FC1350000400,FC-135R_L3.2-W1.5,178.816,-123.4948,180.0,top
Y3,ABM8-32.000MHZ-B2-T3,Crystal_SMD_Abracon_ABM8AIG-4Pin_3.2x2.5mm,173.153,-112.279,180.0,top
